2.7147,0.81472
2.8054,0.94572
2.0253,0.20682
2.8096,1.0331
2.5257,0.79188
1.9871,0.29681
2.1634,0.51742
2.4264,0.82536
2.8307,1.2754
2.831,1.3221
2.0158,0.55395
2.8201,1.4059
2.7971,1.4312
2.3149,0.99799
2.6186,1.3512
1.9483,0.73092
2.2154,1.0486
2.6958,1.5801
2.5579,1.4939
2.7101,1.6981
2.3904,1.431
1.7537,0.84722
2.5497,1.6966
2.6164,1.817
2.3422,1.5969
2.4015,1.7106
2.3665,1.7303
1.9945,1.4133
2.236,1.71
1.7292,1.2587
2.2408,1.8261
1.5427,1.1839
1.7633,1.4604
1.5073,1.2607
1.5325,1.3421
2.2323,2.0983
2.0766,1.999
1.6711,1.65
2.276,2.3113
1.3313,1.423
1.7061,1.8543
1.6189,1.8234
1.9723,2.233
1.9709,2.2878
1.3309,1.7038
1.6017,2.0304
1.5249,2.0093
1.6925,2.2323
1.722,2.317
1.7334,2.3832
1.2203,1.9248
1.5891,2.3479
1.5292,2.3421
1.0011,1.8676
0.92147,1.8412
1.2645,2.2371
1.6891,2.7142
1.0328,2.1097
1.2403,2.3688
0.84124,2.0207
1.3308,2.5607
0.79648,2.0763
1.009,2.3382
1.1635,2.5415
1.3165,2.7426
1.3459,2.8196
0.89461,2.4152
0.44669,2.0135
0.4179,2.0302
0.48653,2.1437
1.0301,2.7313
0.40385,2.1484
0.92402,2.7111
0.31338,2.1422
0.95921,2.829
0.34,2.25
0.14669,2.0959
0.16128,2.149
0.48638,2.5116
0.30383,2.3657
0.14247,2.2401
0.582,2.7145
0.29691,2.4633
0.22198,2.4212
0.55019,2.7814
-0.12025,2.1419
0.3122,2.6044
0.27001,2.5911
-0.14177,2.2073
0.0073326,2.3833
-0.52266,1.8791
-0.58232,1.8442
-0.14295,2.3073
0.068237,2.5411
0.18621,2.6807
-0.65443,1.8605
-0.2517,2.2825
-0.38696,2.1655
-0.8799,1.6896
-0.58973,1.9957
-0.79932,1.8009
-0.20144,2.4125
-0.71829,1.9081
-0.5343,2.1035
-0.93004,1.7179
-0.52609,2.1309
-0.89697,1.7678
-0.53723,2.1342
-0.53293,2.144
-0.50429,2.1769
-0.83165,1.8527
-1.2275,1.4587
-1.111,1.576
-0.45464,2.2319
-1.243,1.4419
-0.59635,2.0858
-0.90999,1.7681
-0.47772,2.1952
-1.4205,1.246
-1.0803,1.5788
-1.4398,1.2105
-0.60742,2.033
-1.5868,1.0425
-0.83802,1.7791
-0.81638,1.7874
-0.78501,1.8043
-1.5886,0.98504
-1.2918,1.265
-1.4495,1.0894
-0.92634,1.5935
-1.3113,1.1884
-0.84757,1.6308
-1.5911,0.86492
-1.5231,0.90947
-1.6546,0.75352
-1.6764,0.70609
-0.95476,1.4011
-1.2551,1.0731
-1.2949,1.0046
-1.709,0.56079
-1.0092,1.2298
-1.2477,0.95963
-1.5255,0.64916
-1.3691,0.77197
-1.4855,0.62092
-1.8155,0.25537
-1.6549,0.37953
-1.7741,0.22309
-1.7151,0.24379
-1.6599,0.25992
-1.4826,0.3973
-1.8494,-0.010226
-0.99466,0.80295
-0.95008,0.80517
-1.4006,0.31146
-1.3981,0.27014
-1.5446,0.079003
-0.9764,0.60184
-1.5005,0.031672
-1.7511,-0.26559
-1.0737,0.36442
-1.4551,-0.064961
-1.5931,-0.25167
-1.4201,-0.1279
-1.716,-0.47356
-1.6681,-0.476
-0.84488,0.29638
-0.81683,0.27306
-1.183,-0.14497
-1.6829,-0.69718
-1.4916,-0.55863
